Date and Hour,List of Locations from which rides started in the Date and Hour,Total Rides in the Date and Hour
"2021-03-01,00","['Howard St at 6th St', 'The Embarcadero at Vallejo St', 'Jackson St at Polk St', 'Powell St BART Station (Market St at 5th St)', 'Esprit Park', 'Powell St BART Station (Market St at 5th St)', 'Powell St BART Station (Market St at 5th St)', '2nd St at Townsend St', '14th St at Mission St']",9
"2021-03-01,01","['Sanchez St at 15th St', 'Civic Center/UN Plaza BART Station (Market St at McAllister St)', 'Berry St at 4th St', 'Myrtle St at Polk St', 'Union Square (Powell St at Post St)', 'Broadway at Kearny St', '19th St at Florida St', 'Post St at Kearny St']",8
"2021-03-01,02","['23rd Ave at Foothill Blvd', 'The Embarcadero at Bryant St']",2
"2021-03-01,03","['San Francisco City Hall (Polk St at Grove St)', 'Sanchez St at 15th St', 'Civic Center/UN Plaza BART Station (Market St at McAllister St)', '14th St at Mission St', 'Almaden Blvd at Balbach St']",5
"2021-03-01,04","['Washington St at Kearny St', '23rd St at Tennessee St', 'Jackson St at Polk St', 'Union Square (Powell St at Post St)', 'Fell St at Stanyan St', 'Tehama St at 1st St', 'Fulton St at Ashby Ave', 'Powell St BART Station (Market St at 4th St)']",8
"2021-03-01,05","['34th St at Telegraph Ave', 'Mint St at Mission St', 'Dolores St at 15th St', '4th St at Harrison St', 'Green St at Van Ness Ave', 'Laurel St at California St', 'Laguna St at Hayes St', 'China Basin St at 3rd St', '11th St at Bryant St', 'Powell St at Columbus Ave', 'Page St at Scott St', 'Mission Bay Kids Park', 'Webster St at Clay St', 'Division St at Potrero Ave', 'Hubbell St at 16th St', 'Father Alfred E Boeddeker Park', ""Webster St at O'Farrell St"", '30th St at San Jose Ave', '23rd St at Tennessee St']",19
"2021-03-01,06","['West Oakland BART Station', 'Golden Gate Ave at Franklin St', 'Division St at Potrero Ave', 'Folsom St at 7th St', 'The Embarcadero at Steuart St', '7th Ave at Irving St', 'Precita Park', '4th St at Harrison St', 'Central Ave at Fell St', 'Howard St at 6th St', 'Octavia Blvd at Page St', 'Salesforce Transit Center (Natoma St at 2nd St)', 'Sanchez St at 17th St', 'Division St at Potrero Ave', 'Division St at Potrero Ave', 'Grove St at Gough St', 'Market St at Dolores St', 'Parker Ave at McAllister St', 'Grove St at Masonic Ave', 'Page St at Scott St', '7th Ave at Cabrillo St', '4th St at 16th St', 'Golden Gate Ave at Franklin St', 'Golden Gate Ave at Franklin St', '22nd St Caltrain Station', 'Octavia Blvd at Page St', 'Mission Playground', 'Potrero Ave at Mariposa St', 'Pier 1/2 at The Embarcadero', 'Haight St at Lyon St', 'Parker St at Fulton St', 'Mississippi St at 17th St', 'Market St at Steuart St', 'Jackson St at Polk St', 'Post St at Kearny St', 'Franklin St at 9th St', 'Market St at 10th St', 'San Francisco Caltrain (Townsend St at 4th St)', 'Pierce St at Haight St', 'Grand Ave at Perkins St', 'Powell St BART Station (Market St at 5th St)', 'Davis St at Jackson St', 'Folsom St at 19th St', 'Frederick St at Arguello Blvd']",44
"2021-03-01,07","['Grove St at Divisadero', '34th St at Telegraph Ave', 'Jones St at Post St', 'Golden Gate Ave at Franklin St', 'Grove St at Divisadero', '22nd St Caltrain Station', '29th St at Tiffany Ave', 'Alamo Square (Steiner St at Fulton St)', 'Great Hwy at Balboa St', '65th St at Hollis St', '22nd St Caltrain Station', 'Duboce Park', 'Division St at Potrero Ave', 'Madison St at 17th St', 'Eureka Valley Recreation Center', 'Madison St at 17th St', 'Webster St at Clay St', 'Grove St at Divisadero', 'Downtown Berkeley BART', 'Salesforce Transit Center (Natoma St at 2nd St)', 'Salesforce Transit Center (Natoma St at 2nd St)', '38th Ave at Balboa St', 'Division St at Potrero Ave', 'Beale St at Harrison St', 'Chestnut St at Van Ness Ave', 'William St at 10th St', 'Bay Pl at Vernon St', '11th St at Bryant St', 'Esprit Park', 'Arguello Blvd at Edward St', 'Valencia St at Clinton Park', '29th St at Tiffany Ave', 'Spear St at Folsom St', 'Powell St BART Station (Market St at 4th St)', 'Market St at Dolores St', 'Esprit Park', 'Division St at Potrero Ave', 'Valencia St at Cesar Chavez St', 'Terry Francois Blvd at Mission Bay Blvd N', 'Haight St at Lyon St', '7th Ave at Cabrillo St', '22nd St at Dolores St', 'Valencia St at 22nd St', 'Cyril Magnin St at Ellis St', 'Page St at Scott St', '38th Ave at Balboa St', '28th Ave at Geary Blvd', 'Powell St at Columbus Ave', 'Eureka Valley Recreation Center', 'Market St at 10th St', 'Steiner St at California St', 'Fulton St at Laguna St', 'The Embarcadero at Bryant St', 'Valencia St at 21st St', 'Valencia St at 21st St', 'Mission Playground', '4th St at Mission Bay Blvd S', 'San Francisco Caltrain (Townsend St at 4th St)', 'Alamo Square (Steiner St at Fulton St)', 'Market St at 10th St', 'Terry Francois Blvd at Mission Bay Blvd N', 'Market St at Dolores St', 'Potrero Ave at Mariposa St', '17th St at Dolores St', 'Broderick St at Oak St', 'Sanchez St at 15th St', 'Berry St at King St', 'China Basin St at 3rd St', '22nd St at Dolores St', 'Golden Gate Ave at Franklin St', 'Frederick St at Arguello Blvd', 'Laurel St at California St', '3rd St at Townsend St', 'Market St at Steuart St', '22nd St Caltrain Station', '1st St at Folsom St', '1st St at Folsom St', 'Myrtle St at Polk St', 'Berry St at 4th St', 'Victoria Manalo Draves Park', 'Jones St at Post St', 'Hubbell St at 16th St', 'Grove St at Gough St', 'Valencia St at Cesar Chavez St', 'San Pablo Park', 'Salesforce Transit Center (Natoma St at 2nd St)', 'Esprit Park', 'Franklin Square', 'Hyde St at Post St', 'Berry St at King St', 'Broderick St at Oak St', '2nd St at Townsend St', '2nd St at Townsend St', '3rd St at Townsend St', 'Market St at Steuart St', 'The Embarcadero at Sansome St', 'Leavenworth St at Broadway', 'Grand Ave at Webster St', 'S Park St at 3rd St', 'Esprit Park', 'Church St at Duboce Ave', 'Pierce St at Haight St', 'Precita Park', 'Powell St BART Station (Market St at 5th St)', 'Broadway at Battery St', 'Divisadero St at Clay St']",106
"2021-03-01,08","['Hearst Ave at Euclid Ave', 'Duboce Park', 'Duboce Park', 'Townsend St at 5th St', 'The Embarcadero at Pier 38', 'Commercial St at Montgomery St', '28th Ave at Geary Blvd', 'The Embarcadero at Steuart St', 'Union Square (Powell St at Post St)', 'Broadway at Kearny St', 'Precita Park', 'Telegraph Ave at Ashby Ave', 'Carl St at Cole St', '17th St at Dolores St', 'San Francisco Caltrain (Townsend St at 4th St)', 'Howard St at 8th St', 'Laguna St at Hayes St', 'Spear St at Folsom St', 'Grove St at Masonic Ave', 'Valencia St at 24th St', 'Powell St at Columbus Ave', 'Powell St BART Station (Market St at 5th St)', 'Jackson St at Polk St', 'San Pablo Ave at 27th St', 'Division St at Potrero Ave', 'Powell St BART Station (Market St at 5th St)', 'Lombard St at Columbus Ave', 'Julian St at The Alameda', 'Golden Gate Ave at Franklin St', 'The Embarcadero at Bryant St', '4th St at Mission Bay Blvd S', 'Embarcadero BART Station (Beale St at Market St)', 'Post St at Divisadero St', 'Alameda St at Henry Adams St', 'Duboce Park', '34th Ave at Balboa St', '7th Ave at Irving St', ""Webster St at O'Farrell St"", '16th St at Prosper St', 'Sanchez St at 17th St', 'Mission Playground', 'Folsom St at 3rd St', 'MacArthur BART Station', 'Green St at Van Ness Ave', 'Evans Ave at Newhall St', '19th St at Mission St', 'Beale St at Harrison St', 'Beale St at Harrison St', 'Powell St BART Station (Market St at 5th St)', 'Howard St at Beale St', 'Greenwich St at Franklin St', ""O'Farrell St at Divisadero St"", '2100 Powell St', '22nd St at Potrero Ave', 'McAllister St at Baker St', '8th St at Brannan St', 'Jersey St at Castro St', 'Broderick St at Oak St', 'Frederick St at Arguello Blvd', 'Sanchez St at 15th St', 'Division St at Potrero Ave', 'Folsom St at 19th St', 'Father Alfred E Boeddeker Park', 'Market St at Franklin St', 'Oakdale Ave at Phelps St', 'Jackson Playground', 'Myrtle St at Polk St', 'Alamo Square (Steiner St at Fulton St)', 'Julian St at The Alameda', 'Howard St at 8th St', 'Arguello Blvd at Geary Blvd', 'Embarcadero BART Station (Beale St at Market St)', 'Townsend St at 6th St', 'Townsend St at 5th St', 'Mission Dolores Park', 'Otis St at Brady St', 'San Francisco Caltrain Station (King St at 4th St)', 'Duboce Park', 'Mosswood Park', 'Valencia St at 22nd St', 'Funston Ave at Fulton St', 'Russell St at College Ave', 'Hyde St at Post St', 'Chestnut St at Van Ness Ave', 'Bay St at Fillmore St', 'Frida Kahlo Way at Cloud Cir', 'Esprit Park', 'Harrison St at 20th St', 'Hyde St at Post St', 'Haight St at Lyon St', 'Valencia St at 24th St', 'Valencia St at 16th St', 'Powell St BART Station (Market St at 5th St)', 'Powell St BART Station (Market St at 5th St)', '11th St at Natoma St', 'Grove St at Divisadero', 'Market St at Dolores St', 'China Basin St at 3rd St', 'Valencia St at 24th St', '28th Ave at Geary Blvd', '10th Ave at Irving St', 'Fell St at Stanyan St', 'Laguna St at Hayes St', 'Laguna St at Hayes St', 'Green St at Van Ness Ave', '14th St at Mission St', 'Green St at Van Ness Ave', 'Harrison St at 20th St', 'Mechanics Monument Plaza (Market St at Bush St)', 'San Antonio Park', '18th St at Noe St', '22nd St Caltrain Station', 'Illinois St at 20th St', '7th St at King St', 'Alamo Square (Steiner St at Fulton St)', 'Pierce St at Haight St', 'Myrtle St at Polk St', '4th St at Mission Bay Blvd S', 'Tehama St at 1st St', 'Esprit Park', 'Church St at Duboce Ave', 'S Van Ness Ave at Market St', '14th Ave at Geary Blvd', 'Tehama St at 1st St', 'Haight St at Lyon St', 'Howard St at 8th St', 'Green St at Van Ness Ave', 'Golden Gate Ave at Franklin St', 'Folsom St at 3rd St', 'Jones St at Post St', 'Market St at Dolores St', 'Haight St at Lyon St', 'Illinois St at 20th St', '16th St Mission BART Station 2', 'Market St at 10th St', 'Valencia St at 22nd St', 'Allyne Park (Green St at Gough St)', '16th St at Prosper St', '7th Ave at Cabrillo St', 'Townsend St at 7th St', 'Broderick St at Oak St', 'Divisadero St at Clay St', 'Derby St at College Ave', 'Telegraph Ave at Alcatraz Ave']",144
"2021-03-01,09","['Myrtle St at Polk St', 'San Salvador St at 9th St', 'Myrtle St at Polk St', 'The Embarcadero at Sansome St', '4th St at Harrison St', 'Howard St at 6th St', 'Howard St at Beale St', 'Church St at Duboce Ave', 'Hubbell St at 16th St', 'Milvia St at Derby St', 'Brannan St at Colin P Kelly Jr St', 'Parker Ave at McAllister St', 'Union Square (Powell St at Post St)', 'San Francisco Caltrain Station (King St at 4th St)', 'Folsom St at 7th St', 'Randall St at Chenery St', 'Hyde St at Post St', 'Folsom St at 9th St', 'Laguna St at Hayes St', '1st St at Folsom St', '48th Ave at Cabrillo St', '2nd Ave at E 18th St', 'Market St at Dolores St', '4th St at 16th St', 'Jersey St at Church St', '7th Ave at Lawton St', 'Lake Merritt BART Station', 'Howard St at Beale St', 'Quesada Ave at 3rd St', 'Fern St at Polk St', 'Clay St at Battery St', 'Jackson Playground', 'San Francisco Caltrain (Townsend St at 4th St)', 'Alamo Square (Steiner St at Fulton St)', 'Broadway at 30th St', 'Sanchez St at 15th St', '1st St at Folsom St', '1st St at Folsom St', 'Montgomery St BART Station (Market St at 2nd St)', 'Folsom St at 5th St', 'Cahill Park', 'Civic Center/UN Plaza BART Station (Market St at McAllister St)', 'Locust St at Grant St', '7th St at King St', 'California St at University Ave', 'Cruise Terminal at Pier 27', 'Cyril Magnin St at Ellis St', 'Davis St at Jackson St', 'The Embarcadero at Bryant St', 'Market St at Dolores St', '10th Ave at Irving St', 'Montgomery St BART Station (Market St at 2nd St)', 'Leavenworth St at Broadway', 'Market St at Dolores St', 'S Van Ness Ave at Market St', '18th St at Noe St', 'Laguna St at Hayes St', '21st St at 5th Ave', 'Post St at Divisadero St', '4th St at 16th St', 'The Embarcadero at Sansome St', 'Central Ave at Fell St', 'McAllister St at Baker St', '4th St at Harrison St', ""O'Farrell St at Divisadero St"", 'San Francisco Caltrain (Townsend St at 4th St)', '8th St at Brannan St', 'Hyde St at Post St', 'Alamo Square (Steiner St at Fulton St)', 'Hubbell St at 16th St', 'Valencia St at 16th St', 'Howard St at 6th St', 'Mission Playground', '17th St at Dolores St', '4th St at Harrison St', 'Pierce St at Haight St', 'S Van Ness Ave at Market St', 'The Embarcadero at Pier 38', 'Guerrero Park', 'Powell St BART Station (Market St at 4th St)', 'Jersey St at Castro St', 'Beale St at Harrison St', 'Union Square (Powell St at Post St)', 'Sanchez St at 15th St', 'Mint St at Mission St', 'Powell St BART Station (Market St at 5th St)', '17th St at Valencia St', '22nd St at Potrero Ave', 'San Francisco Caltrain (Townsend St at 4th St)', '17th St at Dolores St', 'Broadway at Kearny St', 'Hyde St at Post St', 'Cesar Chavez St at Dolores St', 'Frederick St at Arguello Blvd', 'S Van Ness Ave at Market St', '22nd St at Dolores St', 'Jackson St at Polk St', '4th St at 16th St', 'Broderick St at Oak St', 'Powell St BART Station (Market St at 5th St)', 'Mission Dolores Park', '11th St at Natoma St', 'Post St at Kearny St', 'Precita Park', 'Market St at 10th St', 'Alamo Square (Steiner St at Fulton St)', 'Broderick St at Oak St', 'Powell St BART Station (Market St at 4th St)', 'Tehama St at 1st St', 'San Francisco Caltrain (Townsend St at 4th St)', 'Haight St at Lyon St', 'Grove St at Divisadero', 'Salesforce Transit Center (Natoma St at 2nd St)', 'Howard St at 8th St', 'Market St at 10th St', '19th St at Florida St', 'Cyril Magnin St at Ellis St', '23rd St at Tennessee St', 'Lake Merritt BART Station', '3rd St at Townsend St', 'Market St at 10th St', 'Jackson St at Polk St', 'Berry St at 4th St', 'Berry St at 4th St', 'Market St at Steuart St', 'Market St at Steuart St', 'Esprit Park', 'Embarcadero BART Station (Beale St at Market St)', 'Powell St BART Station (Market St at 5th St)', 'Derby St at College Ave', 'Rhode Island St at 17th St', 'Divisadero St at Clay St']",132
